#trial,#trial-reindx,#choice,#win,#loss,,#WIN,#NEUTRAL,#LOSS
190,186,1,1,0,,1,0,0
191,187,2,1,0,,1,0,0
192,188,1,1,0,,1,0,0
193,189,2,0,1,,0,0,1
194,190,2,1,0,,1,0,0
195,191,1,0,0,,0,1,0
196,192,2,1,0,,1,0,0
197,193,1,1,0,,1,0,0
198,194,2,1,1,,0,1,0
199,195,3,0,1,,0,0,1
