trial,#trial begins,#cue,#choice ons,#outcome_ons
190,1083.702,1084.264,1084.482,1086.667
191,1088.168,1088.729,1089.48,1091.665
192,1093.165,1093.725,1093.93,1096.115
193,1097.616,1098.176,1098.44,1100.625
194,1102.126,1102.685,1102.954,1105.138
195,1106.638,1107.198,1107.296,1109.481
196,1110.982,1111.541,1111.597,1113.782
197,1115.283,1115.842,1115.962,1118.147
198,1119.647,1120.206,1120.474,1122.66
199,1124.16,1124.72,1124.72,1126.908
200,1128.408,1128.968,1129.143,1131.329
